source,target,weight
0x102c1656596e4af39d7baa35f8f36898b24a6635,0x72a83e70301cd387c07e79c89fc6261ef26e5230,1
0x60a39010e4892b862d1bb6bdde908215ac5af6f3,0xd4d0cc8de11aad072d18c18715b481ee7bfef4ae,5
0x16b70f44719b227278a2dc1122e8106cc929ecd1,0x2323f53aac50c2c8e44889d1428c96dc8900d21e,1
0x5aca9d6428d4afd05dc06b6b6c2fa6813a705483,0x74de5d4fcbf63e00296fd95d33236b9794016631,39
0x74de5d4fcbf63e00296fd95d33236b9794016631,0x16b70f44719b227278a2dc1122e8106cc929ecd1,578
0x71b468eef38f2eac3df1e91ba618fe948660727a,0x74de5d4fcbf63e00296fd95d33236b9794016631,1
0x74de5d4fcbf63e00296fd95d33236b9794016631,0x60a39010e4892b862d1bb6bdde908215ac5af6f3,670
0x5aca9d6428d4afd05dc06b6b6c2fa6813a705483,0x74de5d4fcbf63e00296fd95d33236b9794016631,39
0x74de5d4fcbf63e00296fd95d33236b9794016631,0x16b70f44719b227278a2dc1122e8106cc929ecd1,578
0x72a83e70301cd387c07e79c89fc6261ef26e5230,0x77696bb39917c91a0c3908d577d5e322095425ca,1
0x77696bb39917c91a0c3908d577d5e322095425ca,0x1382c171cbfacc8468b291017a7a258915fec4e9,1
0x77696bb39917c91a0c3908d577d5e322095425ca,0xdac30fc0ef0576d3c8e8b015a8522232a5abdac9,1
0x77696bb39917c91a0c3908d577d5e322095425ca,0x102c1656596e4af39d7baa35f8f36898b24a6635,1
0xa5a82757f8399ece5be85f5c0d60d23c106e9b51,0x60a39010e4892b862d1bb6bdde908215ac5af6f3,1
0x16b70f44719b227278a2dc1122e8106cc929ecd1,0xc36442b4a4522e871399cd717abdd847ab11fe88,304
0xc36442b4a4522e871399cd717abdd847ab11fe88,0x0f40b968fd7814c760d7be80658905800a9aa71a,41
0x0f40b968fd7814c760d7be80658905800a9aa71a,0x16b70f44719b227278a2dc1122e8106cc929ecd1,25
0x60a39010e4892b862d1bb6bdde908215ac5af6f3,0x4076a2315b4d225895f052e452c3410e9fa78c9e,14
0x60a39010e4892b862d1bb6bdde908215ac5af6f3,0xfefa6656df03af80dc5719a140c11b91cf5458d0,2
0x4571bc3b46291860f3862cb930d1574ac262a1fa,0x2929972fab5f8f34aa76eaa7c921a1df21fbf7e8,1
0x16b70f44719b227278a2dc1122e8106cc929ecd1,0xbe0f59975ad77cc0882daf67bf4a881e3d5f8057,20
0xdcad279e517d7be07934ff85949fd6598758ce0b,0xc89371d31c43846077a240f55208bfe1fa1d5b27,1
0x28d07a7d4a9b0d388bb9f3b1b1bc5cfbaae4c4ab,0x74de5d4fcbf63e00296fd95d33236b9794016631,1
0x74de5d4fcbf63e00296fd95d33236b9794016631,0x16b70f44719b227278a2dc1122e8106cc929ecd1,578
0xbe0f59975ad77cc0882daf67bf4a881e3d5f8057,0x378d247495bf186e121e6467236800f60b7669c6,25
0xf0a3b9f19afc040c39a50001760ca1659fb7871b,0x28c6c06298d514db089934071355e5743bf21d60,91
0x16b70f44719b227278a2dc1122e8106cc929ecd1,0xc89371d31c43846077a240f55208bfe1fa1d5b27,6
0x16b70f44719b227278a2dc1122e8106cc929ecd1,0xc36442b4a4522e871399cd717abdd847ab11fe88,304
0xc36442b4a4522e871399cd717abdd847ab11fe88,0xbd7b3bdb82f6b11a9488354a9b674e2762f27205,31
0x5aca9d6428d4afd05dc06b6b6c2fa6813a705483,0x74de5d4fcbf63e00296fd95d33236b9794016631,39
0x74de5d4fcbf63e00296fd95d33236b9794016631,0x16b70f44719b227278a2dc1122e8106cc929ecd1,578
0x60a39010e4892b862d1bb6bdde908215ac5af6f3,0x74de5d4fcbf63e00296fd95d33236b9794016631,603
0x74de5d4fcbf63e00296fd95d33236b9794016631,0xb80ebbc321659b84c4e063e6085e202c5afe7cb0,12
0x88172e5d79fe75c7aed1453e89ff5d741cfa4ca7,0x4076a2315b4d225895f052e452c3410e9fa78c9e,8
0x5aca9d6428d4afd05dc06b6b6c2fa6813a705483,0x74de5d4fcbf63e00296fd95d33236b9794016631,39
0x74de5d4fcbf63e00296fd95d33236b9794016631,0x16b70f44719b227278a2dc1122e8106cc929ecd1,578
0xb063e99a040e7bc77fd3aba946cd74f089b65cbf,0x16b70f44719b227278a2dc1122e8106cc929ecd1,1
0x77696bb39917c91a0c3908d577d5e322095425ca,0x9fec687daf9fcd9552d045b01f3aad624f85e491,1
0x88172e5d79fe75c7aed1453e89ff5d741cfa4ca7,0x4076a2315b4d225895f052e452c3410e9fa78c9e,8
0xdcad279e517d7be07934ff85949fd6598758ce0b,0x68b3465833fb72a70ecdf485e0e4c7bd8665fc45,258
0x68b3465833fb72a70ecdf485e0e4c7bd8665fc45,0x16b70f44719b227278a2dc1122e8106cc929ecd1,258
0xff2c19162d2fb10e7994060b449387368602b780,0x60a39010e4892b862d1bb6bdde908215ac5af6f3,1
0x378d247495bf186e121e6467236800f60b7669c6,0x28c6c06298d514db089934071355e5743bf21d60,24
0x5aca9d6428d4afd05dc06b6b6c2fa6813a705483,0x74de5d4fcbf63e00296fd95d33236b9794016631,39
0x74de5d4fcbf63e00296fd95d33236b9794016631,0x16b70f44719b227278a2dc1122e8106cc929ecd1,578
0x16b70f44719b227278a2dc1122e8106cc929ecd1,0x8f3ab4c0d4d41694fea84e30b1309b0628abdb99,170
0x77696bb39917c91a0c3908d577d5e322095425ca,0x737b2d8a8515962a96da8a6c085065ec0e24aebb,1
0x43f3b5da269a50f40b7143e8db1946472962b3af,0x16b70f44719b227278a2dc1122e8106cc929ecd1,1
0x8f3ab4c0d4d41694fea84e30b1309b0628abdb99,0xf0a3b9f19afc040c39a50001760ca1659fb7871b,116
0x4d5c6aa0a9d6869ed9a769a875f5b73d48bda08a,0x301c0de47a1cdd0659651848404ccd56e285aec2,1
0x77696bb39917c91a0c3908d577d5e322095425ca,0x60db09a4d4901be180e4c0c59e04a8c98b91f063,1
0x16b70f44719b227278a2dc1122e8106cc929ecd1,0x7942cbfbcee2d99226ca8328a18de44ffb5af678,25
0x16b70f44719b227278a2dc1122e8106cc929ecd1,0x7942cbfbcee2d99226ca8328a18de44ffb5af678,25
0x301c0de47a1cdd0659651848404ccd56e285aec2,0x77696bb39917c91a0c3908d577d5e322095425ca,1
0x77696bb39917c91a0c3908d577d5e322095425ca,0x56ecb9a0074bd4744364d4cd48c88f0c359589b2,1
0x60a39010e4892b862d1bb6bdde908215ac5af6f3,0x74de5d4fcbf63e00296fd95d33236b9794016631,603
0x74de5d4fcbf63e00296fd95d33236b9794016631,0x713507eba46f02a76c2e6b23e4d4feda170fb02d,8
0xf0a3b9f19afc040c39a50001760ca1659fb7871b,0x28c6c06298d514db089934071355e5743bf21d60,91
0x60a39010e4892b862d1bb6bdde908215ac5af6f3,0x1f13fe713f4f2f10aee7b129e5ae2bc89a17ae5e,3
0x16b70f44719b227278a2dc1122e8106cc929ecd1,0xd97bfa595fec38455af2739a730045b91c249142,1
0x21a31ee1afc51d94c2efccaa2092ad1028285549,0x7935a2614feda7a4cf1e4b5adf59b3f5d49c2f0c,1
0x60a39010e4892b862d1bb6bdde908215ac5af6f3,0x1f13fe713f4f2f10aee7b129e5ae2bc89a17ae5e,3
0x16b70f44719b227278a2dc1122e8106cc929ecd1,0x7942cbfbcee2d99226ca8328a18de44ffb5af678,25
0x5aca9d6428d4afd05dc06b6b6c2fa6813a705483,0x74de5d4fcbf63e00296fd95d33236b9794016631,39
0x74de5d4fcbf63e00296fd95d33236b9794016631,0x16b70f44719b227278a2dc1122e8106cc929ecd1,578
0xbed91e689cc8134901eac0984b1817ac19d04bb5,0x16b70f44719b227278a2dc1122e8106cc929ecd1,9
0x60a39010e4892b862d1bb6bdde908215ac5af6f3,0x409153eec309c5edad2f84dbffb2947256831c6d,1
0x16b70f44719b227278a2dc1122e8106cc929ecd1,0x7942cbfbcee2d99226ca8328a18de44ffb5af678,25
0x5e783cb381da81af6769eba780ec7b0f0a8295c4,0x16b70f44719b227278a2dc1122e8106cc929ecd1,1
0x5aca9d6428d4afd05dc06b6b6c2fa6813a705483,0x74de5d4fcbf63e00296fd95d33236b9794016631,39
0x74de5d4fcbf63e00296fd95d33236b9794016631,0x16b70f44719b227278a2dc1122e8106cc929ecd1,578
0x16b70f44719b227278a2dc1122e8106cc929ecd1,0x8f3ab4c0d4d41694fea84e30b1309b0628abdb99,170
